Geneid	Anotacion	Locus	ID	C.1	C.3	C.4	F.1	F.2	F.4	M.1	M.3	M.4	H.1	H.2	H.3
cds3149	class I SAM-dependent methyltransferase	RPHASCH2410_CH12960	WP_010023664.1	3506	3936	3991	2465	2865	2517	4147	2120	2355	2746	3053	2317
cds3150	hypothetical protein	RPHASCH2410_CH12965	WP_016734405.1	535	461	522	559	593	626	500	266	353	429	694	389
cds3151	superoxide dismutase	RPHASCH2410_CH12970	WP_016734404.1	20750	24221	24309	16918	19434	17743	17902	24914	20629	13837	19173	16811
cds3152	phosphatase	RPHASCH2410_CH12975	WP_016734403.1	600	607	641	804	875	815	800	943	833	688	845	693
cds3153	YafY family transcriptional regulator	RPHASCH2410_CH12980	WP_012483137.1	545	509	516	877	956	909	814	1015	806	609	821	756
cds3154	LysE family translocator	RPHASCH2410_CH12985	WP_004680390.1	312	259	254	366	434	391	298	154	222	297	426	280
cds3155	MBL fold metallo-hydrolase	RPHASCH2410_CH12990	WP_046977111.1	228	129	151	160	177	184	134	89	118	134	196	120
cds3156	LysR family transcriptional regulator	RPHASCH2410_CH12995	WP_016734401.1	217	162	168	278	273	279	201	121	162	214	303	184
cds3157	cytochrome C556 signal peptide protein	RPHASCH2410_CH13000	WP_010023618.1	1585	1591	1661	2227	2382	2450	1758	1493	1784	1724	2553	1627
cds3158	diacylglycerol kinase	RPHASCH2410_CH13010	WP_016734400.1	714	724	757	1032	1169	1002	884	789	850	755	1170	772
cds3159	N-acetyltransferase	RPHASCH2410_CH13015	WP_046977108.1	663	437	466	1341	1352	1263	1028	1031	936	811	1082	757
cds3160	metal/formaldehyde-sensitive transcriptional repressor	RPHASCH2410_CH13020	WP_010021162.1	52	46	40	23	29	28	35	19	19	22	22	22
cds3161	cation transporter	RPHASCH2410_CH13025	WP_016734398.1	750	797	837	667	685	706	563	477	449	536	733	518
cds3162	class A beta-lactamase	RPHASCH2410_CH13030	WP_016734397.1	4089	4727	4625	2315	2755	2522	2839	1811	2317	2127	3127	2077
cds3163	glucose/quinate/shikimate family membrane-bound PQQ-dependent dehydrogenase	RPHASCH2410_CH13035	WP_016734396.1	8377	9725	9623	14407	15693	14499	13163	9080	11381	11610	16388	10701
cds3164	YdiU family protein	RPHASCH2410_CH13040	WP_029531566.1	22675	22479	23484	34905	36609	33808	28178	18728	21261	28020	38395	24204
cds3165	MFS transporter	RPHASCH2410_CH13045	WP_039751071.1	2559	2355	2545	4664	5285	4780	5076	3739	4209	4766	6697	4731
cds3166	DUF1697 domain-containing protein	RPHASCH2410_CH13050	WP_016734392.1	2017	2008	2056	1155	1397	1284	1176	1382	1088	1100	1449	1243
cds3167	S9 family peptidase	RPHASCH2410_CH13055	WP_016734391.1	8300	9944	9923	6666	8311	7345	7974	12203	9814	6061	7520	8153
cds3168	DUF930 domain-containing protein	RPHASCH2410_CH13060	WP_012483152.1	1985	1930	2089	1857	2234	1904	1564	1189	1507	1315	2224	1391
cds3169	polysaccharide deacetylase	RPHASCH2410_CH13065	WP_016734390.1	3971	3614	3813	4864	5397	5071	4288	3063	3167	3991	5458	3784
cds3170	FAD-binding oxidoreductase	RPHASCH2410_CH13070	WP_016734389.1	8964	9471	9874	2872	3162	2928	4191	2943	2966	2905	3522	3015
cds3171	AI-2E family transporter	RPHASCH2410_CH13075	WP_016734388.1	15435	16789	17489	3433	4697	3853	9005	5461	5285	5936	5103	5288
cds3172	hypothetical protein	RPHASCH2410_CH13080	WP_016734387.1	2097	2445	2508	491	602	540	1154	646	713	650	660	648
cds3173	glyoxalase	RPHASCH2410_CH13085	WP_029531565.1	3691	3520	3734	7496	7845	7371	8880	4583	6592	6501	8790	5706
cds3174	universal stress protein	RPHASCH2410_CH13090	WP_012483158.1	25083	23448	25184	17179	18054	17620	13256	8158	10111	14370	21160	11444
cds3175	DNA-binding protein	RPHASCH2410_CH13095	WP_004674979.1	2718	2604	2905	4481	4325	4311	2122	1492	1705	3013	4101	2631
cds3176	N-acetyltransferase	RPHASCH2410_CH13100	WP_016734385.1	569	553	614	1341	1520	1419	1040	922	908	952	1281	1060
cds3177	pentapeptide repeat-containing protein	RPHASCH2410_CH13105	WP_029531564.1	2489	2660	2763	3320	3551	3269	2137	1753	1976	2210	3482	2087
cds3178	USG protein	RPHASCH2410_CH13110	WP_016734383.1	1300	1600	1647	1157	1271	1188	824	706	667	865	1222	889
cds3179	co-chaperone GroES	RPHASCH2410_CH13115	WP_004674972.1	32761	36318	38453	17356	21473	19231	15820	18466	16218	14079	18265	17491
cds3180	chaperonin GroEL	RPHASCH2410_CH13120	WP_046977109.1	151752	173218	178886	45846	62716	53307	54062	71000	60825	44843	57512	61963
cds3181	hypothetical protein	RPHASCH2410_CH13125	WP_016734381.1	7216	8048	8886	2335	3146	3059	3232	4851	3921	3003	3658	4204
cds3182	glycosyltransferase family 4 protein	RPHASCH2410_CH13130	WP_016734380.1	4544	4423	5091	1455	1708	1569	1325	1121	1150	1284	1798	1389
cds3183	amylo-alpha-1%2C6-glucosidase	RPHASCH2410_CH13135	WP_016734379.1	5674	5728	6157	4303	5016	4825	3997	3555	3365	3570	4725	3973
cds3184	hypothetical protein	RPHASCH2410_CH13140	WP_004672969.1	2362	2182	2650	2724	3153	3174	2430	2542	2183	2325	3059	2569
cds3185	molecular chaperone Hsp20	RPHASCH2410_CH13145	WP_016734378.1	49028	46191	51090	38804	42110	40907	23479	13853	16943	31476	47817	25147
cds3186	Hsp20/alpha crystallin family protein	RPHASCH2410_CH13150	WP_016734377.1	19335	20648	22278	23482	26166	24541	18306	13137	15139	18982	25583	19805
cds3187	DUF982 domain-containing protein	RPHASCH2410_CH13155	WP_004670246.1	34765	36355	39338	41727	49731	44618	48503	50059	41642	37511	46175	40533
cds3188	peptide-methionine (R)-S-oxide reductase	RPHASCH2410_CH13160	WP_016734376.1	16693	16713	18934	19372	22559	22319	19512	17179	15985	18437	24139	18259
cds3189	hypothetical protein	RPHASCH2410_CH13165	WP_012483168.1	1921	1638	1818	1202	1216	1221	1070	520	820	992	1439	870
cds3190	Na(+)/H(+) antiporter subunit A	RPHASCH2410_CH13170	WP_016734375.1	2110	1992	2034	2089	2324	2179	1694	1180	1493	1528	2315	1312
cds3191	Na(+)/H(+) antiporter subunit B	RPHASCH2410_CH13175	WP_016734374.1	218	195	201	234	225	232	175	158	151	179	243	129
cds3192	cation:proton antiporter	RPHASCH2410_CH13180	WP_016734373.1	192	181	211	278	290	263	202	153	181	232	280	224
cds3193	Na+/H+ antiporter subunit D	RPHASCH2410_CH13185	WP_016734372.1	541	503	472	740	766	685	653	429	506	526	765	489
cds3194	Na+/H+ antiporter subunit E	RPHASCH2410_CH13190	WP_016734371.1	114	133	111	166	183	149	140	91	113	118	163	106
cds3195	cation:proton antiporter	RPHASCH2410_CH13195	WP_016734370.1	141	124	110	169	136	137	145	96	103	107	182	90
cds3196	Na+/H+ antiporter subunit G	RPHASCH2410_CH13200	WP_016734369.1	135	127	149	164	137	160	102	93	87	104	136	103
cds3197	transcriptional regulator	RPHASCH2410_CH13205	WP_010060045.1	9398	10725	10737	21401	23132	22518	13069	10754	12808	14487	22096	13830
cds3198	cysteine desulfuration protein SufE	RPHASCH2410_CH13210	WP_029531563.1	9852	10379	10793	15628	17583	16628	13976	9865	9933	14390	19913	12420
cds3199	hypothetical protein	RPHASCH2410_CH13215	WP_012483176.1	4280	4200	4452	2092	2408	2323	1946	1193	1494	1768	2580	1628
cds3200	two-component sensor histidine kinase	RPHASCH2410_CH13220	WP_016734368.1	2445	2266	2584	1247	1319	1228	1103	763	883	922	1385	937
cds3201	peptidoglycan-binding protein	RPHASCH2410_CH13225	WP_016734367.1	1869	1750	1917	1487	1430	1412	1111	726	901	1097	1529	926
cds3202	MCP chemoreceptor protein	RPHASCH2410_CH13230	WP_016734366.1	4450	4304	4697	1820	1874	1844	1424	815	1062	1453	2111	1181
cds3203	DUF1491 domain-containing protein	RPHASCH2410_CH13235	WP_029531562.1	383	304	364	457	480	481	347	355	345	340	425	371
cds3204	DUF2336 domain-containing protein	RPHASCH2410_CH13240	WP_016734365.1	5819	5067	5865	4234	4533	4400	3282	2682	2698	2933	4006	2871
cds3205	membrane protein	RPHASCH2410_CH13255	WP_016734363.1	5296	4966	5435	2008	2396	2052	3085	1497	1826	2088	2518	1901
cds3206	DUF1214 domain-containing protein	RPHASCH2410_CH13260	WP_010014566.1	1111	1035	1163	1315	1425	1307	1525	1025	1059	1133	1529	1164
cds3207	penicillin-binding protein	RPHASCH2410_CH13265	WP_016734362.1	7455	7177	8006	9292	10275	9787	8038	4616	6131	6883	9991	6003
cds3208	YcgN family cysteine cluster protein	RPHASCH2410_CH13270	WP_016734361.1	1181	993	1099	1323	1317	1397	923	906	832	930	1409	910
cds3209	TetR family transcriptional regulator	RPHASCH2410_CH13275	WP_016734360.1	236	196	210	351	376	319	304	201	289	283	434	256
cds3210	short-chain dehydrogenase	RPHASCH2410_CH13280	WP_029531560.1	510	496	539	782	811	779	590	465	534	541	776	483
cds3211	fatty acid desaturase	RPHASCH2410_CH13285	WP_016734358.1	444	464	521	1218	1471	1424	861	880	823	825	1195	990
cds3212	hypothetical protein	RPHASCH2410_CH13295	WP_016734355.1	2607	2430	2626	3090	3281	3262	3024	2086	2287	3004	4325	2499
cds3213	hypothetical protein		gbkey=CDS	3748	3307	3603	4733	5914	5136	4828	3567	3613	4230	5394	4501
cds3214	VOC family protein	RPHASCH2410_CH13310	WP_016734354.1	10327	11629	12006	14125	16292	14704	13957	10940	12047	11788	15286	13694
cds3215	serine protease	RPHASCH2410_CH13315	WP_012483191.1	43728	43588	45414	71468	78270	73065	67802	49229	50690	63056	82782	58947
cds3216	PLP-dependent aminotransferase family protein	RPHASCH2410_CH13320	WP_046977117.1	736	715	815	1594	1682	1519	1757	1276	1478	1074	1581	975
cds3217	DUF983 domain-containing protein	RPHASCH2410_CH13325	WP_016734352.1	4638	4051	4457	29492	29771	30565	24926	13671	17081	19860	29506	17580
cds3218	LysR family transcriptional regulator	RPHASCH2410_CH13330	WP_016734351.1	1827	1777	1973	20116	20717	19160	17374	9893	12067	13305	19583	11762
cds3219	glutathione S-transferase family protein	RPHASCH2410_CH13335	WP_016734350.1	2508	2584	2665	3055	3181	3145	2524	1615	1935	2220	3049	1995
cds3220	pyridoxamine 5'-phosphate oxidase	RPHASCH2410_CH13340	WP_016734349.1	2171	2306	2315	2757	2903	2849	2173	1981	2046	1993	2698	2076
cds3221	DUF1348 domain-containing protein	RPHASCH2410_CH13345	WP_016734348.1	2385	2515	2909	2621	3100	2872	2566	3376	2764	1912	2326	2682
cds3222	TetR/AcrR family transcriptional regulator	RPHASCH2410_CH13350	WP_016734347.1	7174	8203	7983	3519	3775	3351	3993	5226	4539	2459	3777	2497
cds3223	hypothetical protein		end_range=29682,.	752	762	805	865	1061	992	1020	1047	852	802	987	1003
cds3224	stress responsive protein	RPHASCH2410_CH13365	WP_012483200.1	272	261	249	469	559	531	388	551	456	390	457	511
cds3225	MFS transporter	RPHASCH2410_CH13370	WP_016734345.1	125	106	128	367	468	399	487	452	385	295	376	354
cds3226	hypothetical protein	RPHASCH2410_CH13380	WP_004670343.1	7304	7990	8579	26947	30935	25643	29668	35194	27045	21691	24795	25804
cds3227	DNA-binding response regulator	RPHASCH2410_CH13385	WP_012483203.1	13126	13156	13986	26393	32626	28801	34282	35805	29565	24849	28243	33274
cds3228	sensor histidine kinase	RPHASCH2410_CH13390	WP_012483204.1	10869	10506	11177	7233	9748	8130	11136	8134	8484	9159	10646	11987
cds3229	hypothetical protein	RPHASCH2410_CH13395	WP_012483205.1	3202	3060	3407	2222	2658	2450	2311	1852	1870	2029	2809	2193
cds3230	c-type cytochrome biogenesis protein CcmI	RPHASCH2410_CH13400	WP_016734344.1	1083	1020	1027	2443	2937	2634	3153	4308	3341	2318	2644	3088
cds3231	cytochrome c maturation protein CcmE	RPHASCH2410_CH13405	WP_046977112.1	1237	1286	1390	1429	1753	1622	1909	1970	1821	1511	1916	1747
cds3232	heme lyase CcmF/NrfE family subunit	RPHASCH2410_CH13410	WP_046977113.1	4067	4238	4319	3731	4512	3928	4946	4308	4256	3794	4802	4074
cds3233	hypothetical protein		WP_080956155.1	13	16	15	24	14	17	18	23	23	12	24	26
cds3234	cytochrome c-type biogenesis protein CcmH		WP_016734342.1	871	907	952	662	763	683	736	808	727	701	819	774
cds3235	PDZ domain-containing protein	RPHASCH2410_CH13420	WP_012483209.1	17277	19459	19367	21186	25576	21950	440512	270108	246457	161027	88906	122932
cds3236	DNA-binding response regulator	RPHASCH2410_CH13425	WP_037113567.1	2223	2455	2453	2011	2424	2083	23701	20512	18452	10429	7684	9318
cds3237	sensor histidine kinase	RPHASCH2410_CH13430	WP_012483211.1	1777	1605	1760	1064	1276	1154	6798	4474	4479	3529	3255	3624
cds3238	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	RPHASCH2410_CH13435	WP_016734340.1	4515	4549	4852	5105	5543	5318	4747	3170	3826	4215	5755	3930
cds3239	PAS domain-containing sensor histidine kinase	RPHASCH2410_CH13440	WP_016734339.1	10454	10666	11223	6540	6762	6613	4883	3928	4220	4554	6634	4428
cds3240	aminopeptidase N	RPHASCH2410_CH13445	WP_016734338.1	5441	4980	5866	2698	2881	2688	1994	1728	1738	1922	2717	1916
cds3241	chemotaxis protein		end_range=51707,.	126	86	83	132	155	163	132	67	84	114	165	110
cds3242	EamA/RhaT family transporter	RPHASCH2410_CH13455	WP_016734337.1	855	697	757	860	935	881	580	381	460	619	949	514
cds3243	hypothetical protein	RPHASCH2410_CH13460	WP_029531556.1	4173	3498	3770	8077	8807	8611	5756	4044	4675	6486	8724	6036
cds3244	hypothetical protein	RPHASCH2410_CH13465	WP_010035016.1	460	435	447	8151	9071	8766	5736	858	2767	7712	10338	4378
cds3245	uracil-DNA glycosylase	RPHASCH2410_CH13470	WP_012483217.1	956	1004	1005	1403	1418	1356	1170	854	857	1012	1401	890
cds3246	Hsp70 family protein	RPHASCH2410_CH13475	WP_016734335.1	157	120	170	242	264	248	256	314	252	186	284	276
cds3247	AcrB/AcrD/AcrF family protein	RPHASCH2410_CH13480	WP_016734334.1	2098	2101	2265	2841	3218	3067	7573	4854	5239	4668	5202	4471
cds3248	efflux RND transporter periplasmic adaptor subunit	RPHASCH2410_CH13485	WP_016734333.1	1160	1033	1193	1463	1598	1549	6715	2465	3398	3330	3572	2413
cds3249	aminoglycoside phosphotransferase family protein	RPHASCH2410_CH13490	WP_016734332.1	1537	1274	1377	2422	2379	2239	2442	1462	1589	1991	2604	1622
cds3250	KR domain-containing protein	RPHASCH2410_CH13495	WP_012483222.1	2155	2409	2369	4234	4505	4324	3230	2253	2497	3026	4310	2775
cds3251	electron transfer flavoprotein-ubiquinone oxidoreductase	RPHASCH2410_CH13500	WP_016734331.1	5818	6168	6357	6840	7763	7201	5865	6969	6048	4786	6900	5394
cds3252	L%2CD-transpeptidase	RPHASCH2410_CH13505	WP_004672572.1	611	676	682	401	440	437	391	274	334	320	483	311
cds3253	EamA/RhaT family transporter	RPHASCH2410_CH13510	WP_016734330.1	4312	4513	4441	2165	2259	2131	2396	2142	2064	1708	2372	1502
cds3254	Lrp/AsnC family transcriptional regulator	RPHASCH2410_CH13515	WP_039751042.1	86	94	82	230	255	230	335	359	306	215	317	206
cds3255	magnesium transporter	RPHASCH2410_CH13520	WP_016734328.1	9770	8443	9665	15415	18033	16607	24575	16764	17499	17468	22173	14612
cds3256	MFS transporter	RPHASCH2410_CH13525	WP_012483227.1	1193	986	1024	3341	3201	3111	2142	892	1445	2387	3259	1774
cds3257	diacylglycerol kinase family lipid kinase	RPHASCH2410_CH13535	WP_012483229.1	6468	6521	7008	10402	11621	11024	7859	7498	7063	8042	9969	8659
cds3258	glutamine synthetase	RPHASCH2410_CH13540	WP_016734327.1	1158	909	1045	1728	1979	1834	1924	1689	1697	1342	1751	1544
cds3259	aspartate aminotransferase family protein	RPHASCH2410_CH13545	WP_016734326.1	1115	1122	1276	927	1028	887	806	785	768	767	992	707
cds3260	hypothetical protein		WP_016734325.1	385	328	359	218	215	225	195	136	184	181	279	163
cds3261	membrane protein	RPHASCH2410_CH13550	WP_016734324.1	579	590	614	466	536	474	496	481	417	447	600	547
cds3262	membrane protein	RPHASCH2410_CH13555	WP_016734323.1	558	597	649	640	798	677	788	638	620	564	763	652
cds3263	glycosyltransferase	RPHASCH2410_CH13560	WP_016734322.1	3186	3158	3410	5472	6293	5701	5448	6016	5071	4462	5472	5116
cds3264	membrane protein	RPHASCH2410_CH13565	WP_016734321.1	753	727	788	1128	1259	1304	858	1013	950	891	1224	1180
cds3265	membrane protein	RPHASCH2410_CH13570	WP_016734320.1	384	320	372	1178	1298	1203	1006	1133	941	740	910	866
cds3266	RNA polymerase subunit sigma-24	RPHASCH2410_CH13575	WP_016734319.1	569	554	631	604	636	646	686	577	582	578	650	539
cds3267	dehydrogenase	RPHASCH2410_CH13580	WP_016734317.1	424	403	449	342	379	372	326	431	386	320	370	392
cds3268	hypothetical protein	RPHASCH2410_CH13585	WP_016734316.1	308	297	309	241	315	273	281	410	271	250	276	309
cds3269	YciI family protein	RPHASCH2410_CH13590	WP_016734314.1	371	238	323	298	299	283	395	455	355	302	378	365
cds3270	hypothetical protein	RPHASCH2410_CH13595	WP_010022928.1	922	773	857	508	629	531	1072	975	981	643	886	773
cds3271	AMP nucleosidase	RPHASCH2410_CH13600	WP_012483239.1	28904	28944	30124	54313	65671	57041	63163	58881	52247	52423	59986	61053
cds3272	hypothetical protein		WP_010009317.1	18560	22163	23505	63779	74504	75716	67364	72045	59092	63729	74240	67704
cds3273	DUF2147 domain-containing protein	RPHASCH2410_CH13610	WP_010018948.1	2923	3242	3153	3574	4001	3808	3452	3767	3307	2384	3309	2877
cds3274	sel1 repeat family protein	RPHASCH2410_CH13615	WP_004672535.1	1121	1063	1251	321	405	431	290	220	239	316	385	323
cds3275	pyridoxal phosphate-dependent aminotransferase	RPHASCH2410_CH13620	WP_016734312.1	2463	2412	2365	2552	2734	2528	2281	1951	1898	2094	2757	2003
cds3276	pilus protein PilZ	RPHASCH2410_CH13625	WP_004672539.1	7838	9721	9036	2825	3092	2918	2735	2176	2521	2505	3480	2471
cds3277	DUF2177 domain-containing protein	RPHASCH2410_CH13630	WP_016734311.1	384	327	394	412	433	472	373	206	305	362	494	396
cds3278	host attachment protein	RPHASCH2410_CH13635	WP_012483243.1	3405	3943	4098	951	1256	1176	1506	886	1030	1150	1383	1057
cds3279	LysR family transcriptional regulator	RPHASCH2410_CH13640	WP_029531554.1	2539	2691	3080	1757	1928	2038	1540	1625	1589	1670	2027	1836
cds3280	hypothetical protein		WP_080956156.1	600	537	608	333	400	394	269	228	224	344	498	306
cds3281	hypothetical protein	RPHASCH2410_CH13645	WP_009999226.1	1868	1680	2030	974	1103	1092	761	674	634	903	1238	842
cds3282	hypothetical protein	RPHASCH2410_CH13655	WP_016734309.1	352	225	231	353	418	377	291	178	220	244	401	270
cds3283	MATE family efflux transporter	RPHASCH2410_CH13660	WP_016734308.1	257	225	245	270	283	270	288	194	231	220	296	206
cds3284	AraC family transcriptional regulator		gbkey=CDS	644	619	711	747	844	836	788	547	606	618	884	601
cds3285	DUF1127 domain-containing protein	RPHASCH2410_CH13675	WP_016734306.1	52	45	54	120	139	119	111	61	81	112	135	65
cds3286	5-deoxy-glucuronate isomerase	RPHASCH2410_CH13680	WP_016734305.1	1159	1285	1383	2367	2534	2284	1715	1202	1550	1548	2442	1573
cds3287	myo-inosose-2 dehydratase	RPHASCH2410_CH13685	WP_016734304.1	1669	1996	2029	3331	3549	3378	2397	1717	2197	2291	3343	2219
cds3288	3D-(3%2C5/4)-trihydroxycyclohexane-1%2C2-dione acylhydrolase (decyclizing)	RPHASCH2410_CH13690	WP_016734303.1	4231	4530	4514	5347	6215	5811	3807	3224	3508	3860	5752	3849
cds3289	5-dehydro-2-deoxygluconokinase	RPHASCH2410_CH13695	WP_012483251.1	3296	3547	3533	6052	7464	6618	2704	2792	2713	2803	4190	3249
cds3290	MurR/RpiR family transcriptional regulator	RPHASCH2410_CH13700	WP_016734302.1	709	733	789	1178	1429	1254	731	689	621	631	850	838
cds3291	gfo/Idh/MocA family oxidoreductase	RPHASCH2410_CH13705	WP_016734301.1	825	833	893	1147	1488	1346	609	790	640	597	781	817
cds3292	pyridine nucleotide-disulfide oxidoreductase	RPHASCH2410_CH13710	WP_016734300.1	2184	2096	2215	3634	3645	3648	2382	2095	2128	2475	3721	2383
cds3293	porin	RPHASCH2410_CH13720	WP_046977114.1	183348	198301	209198	143699	164861	149139	93907	51584	81438	80269	135159	64022
cds3294	alpha/beta hydrolase	RPHASCH2410_CH13725	WP_016734299.1	654	709	741	1352	1426	1324	1094	911	841	938	1305	890
cds3295	lytic transglycosylase	RPHASCH2410_CH13730	WP_016734298.1	7094	7001	7722	6588	7479	6804	6579	4132	5145	5622	8011	5153
cds3296	4-hydroxy-tetrahydrodipicolinate synthase	RPHASCH2410_CH13735	WP_016734297.1	3148	3327	3408	3193	4013	3520	3398	3756	3294	2706	3441	3202
cds3297	SsrA-binding protein	RPHASCH2410_CH13740	WP_004675044.1	7606	6909	7894	15622	17192	16317	12658	8853	8514	13098	17599	11229
cds3298	NYN domain-containing protein	RPHASCH2410_CH13745	WP_004675045.1	7586	7596	8582	10278	10810	10442	8023	5420	6288	8445	12492	6959
cds3299	DNA-directed RNA polymerase subunit omega	RPHASCH2410_CH13750	WP_003574261.1	2350	2430	2590	7677	8821	8156	6118	11556	8431	5334	6752	7566
cds3300	bifunctional (p)ppGpp synthetase/guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase	RPHASCH2410_CH13755	WP_012483259.1	3916	3700	4098	4439	4770	4735	3879	3190	3395	3437	4779	3579
cds3301	DUF3563 domain-containing protein	RPHASCH2410_CH13760	WP_004675049.1	1144	924	1185	28162	29495	29041	14206	3464	8918	17367	26550	11455
cds3302	DUF2062 domain-containing protein	RPHASCH2410_CH13765	WP_012483260.1	1358	1346	1464	14225	14788	14309	7500	5415	5403	9077	11584	7690
cds3303	holo-ACP synthase	RPHASCH2410_CH13770	WP_004675052.1	1135	1026	1119	1478	1727	1593	1246	1158	1134	1290	1575	1621
cds3304	signal peptidase I	RPHASCH2410_CH13775	WP_012483261.1	4687	4701	5036	10185	11106	10483	6851	6919	6126	7486	9921	8072
cds3305	ribonuclease 3	RPHASCH2410_CH13780	WP_004675053.1	2051	1905	2214	4104	4619	4573	3142	2298	2530	3167	4226	3407
cds3306	GTPase Era	RPHASCH2410_CH13785	WP_016734296.1	2358	2334	2568	5558	6451	6016	5000	4101	4128	4437	5660	4890
cds3307	Crp/Fnr family transcriptional regulator	RPHASCH2410_CH13790	WP_016734295.1	2948	3246	3313	903	1150	1042	1747	1073	1187	1341	1337	1312
cds3308	two-component system response regulator	RPHASCH2410_CH13795	WP_029531552.1	826	859	975	743	807	820	753	987	814	672	774	775
cds3309	DNA repair protein RecO	RPHASCH2410_CH13800	WP_016734294.1	1783	1323	1518	3128	3299	3397	1796	917	1295	2239	3712	1777
cds3310	aldo/keto reductase	RPHASCH2410_CH13805	WP_012483265.1	10337	11633	12066	6884	7878	7577	10897	8213	8631	7744	9667	7460
cds3311	MOSC domain-containing protein	RPHASCH2410_CH13810	WP_016734293.1	2614	2780	2842	2107	2474	2333	2703	2161	2272	1970	2668	2142
cds3312	HD domain-containing protein	RPHASCH2410_CH13815	WP_029531551.1	413	381	439	1182	1323	1316	936	612	776	1005	1257	1002
cds3313	GGDEF domain-containing protein	RPHASCH2410_CH13820	WP_016734291.1	821	693	735	581	625	552	423	237	326	408	557	405
cds3314	hypothetical protein	RPHASCH2410_CH13825	WP_016734290.1	7321	7751	8344	3746	4309	4082	3174	1878	3146	3272	4922	3152
cds3315	hypothetical protein		gbkey=CDS	197	257	265	197	265	214	200	80	152	141	276	133
cds3316	superoxide dismutase family protein	RPHASCH2410_CH13830	WP_016734288.1	2015	2476	2476	1204	1426	1218	1801	1037	1149	1258	1471	1068
cds3317	mechanosensitive ion channel protein	RPHASCH2410_CH13835	WP_012483271.1	2887	3094	3324	3372	3659	3486	2397	1550	1987	2464	3400	2409
cds3318	tyrosine phosphatase		WP_016734286.1	991	1030	1015	888	1005	824	993	632	702	692	905	767
cds3319	HD family hydrolase	RPHASCH2410_CH13845	WP_046977118.1	2549	2432	2658	2424	2859	2502	2327	2040	1991	2134	2646	2359
cds3320	folate-binding protein	RPHASCH2410_CH13850	WP_029531550.1	6980	7136	6849	7659	8210	6855	8239	7459	6607	6157	7354	5672
cds3321	hypothetical protein	RPHASCH2410_CH13855	WP_016734283.1	7160	6046	6973	11869	11909	11543	6900	4360	5240	7565	11099	6685
cds3322	hypothetical protein	RPHASCH2410_CH13860	WP_004675135.1	7622	6181	7522	6962	7449	7595	4034	3232	3247	5128	7296	4219
cds3323	TIGR02301 family protein	RPHASCH2410_CH13865	WP_039751033.1	3066	2498	2854	2349	2403	2403	1313	682	1251	1696	2861	1373
cds3324	NUDIX domain-containing protein		WP_010019604.1	344	308	304	284	286	287	217	183	185	200	278	219
cds3325	YnfA family protein	RPHASCH2410_CH13875	WP_029531549.1	243	240	258	166	279	238	206	122	175	154	268	150
cds3326	SOS response-associated peptidase	RPHASCH2410_CH13880	WP_016734279.1	2303	2111	2312	3049	3419	3216	3682	3269	3359	2901	4016	3261
cds3327	CDP-diacylglycerol--serine O-phosphatidyltransferase	RPHASCH2410_CH13885	WP_004675126.1	1674	1800	1794	1256	1439	1240	1212	897	1021	957	1337	1070
cds3328	phosphatidylserine decarboxylase proenzyme	RPHASCH2410_CH13890	WP_016734278.1	2011	2162	2220	1905	2212	2031	1689	1787	1763	1367	1954	1584
cds3329	ABC transporter ATP-binding protein/permease	RPHASCH2410_CH13895	WP_016734277.1	8458	8420	8904	7187	8684	7670	7331	7304	6693	6295	7946	7567
cds3330	LysM peptidoglycan-binding domain-containing protein	RPHASCH2410_CH13900	WP_016734276.1	6828	6616	6996	14063	15453	13637	11926	12226	11795	10248	13918	10844
cds3331	TIGR00730 family Rossman fold protein	RPHASCH2410_CH13905	WP_016734275.1	4168	2944	3452	3777	4206	4057	3011	2665	2973	3266	4417	3263
cds3332	LysR family transcriptional regulator	RPHASCH2410_CH13910	WP_004675117.1	699	662	745	909	1007	932	1225	1598	1206	755	911	867
cds3333	MBL fold metallo-hydrolase	RPHASCH2410_CH13915	WP_016734274.1	130	119	111	158	155	178	131	131	111	108	164	112
cds3334	alpha/beta hydrolase	RPHASCH2410_CH13920	WP_016734273.1	217	177	164	182	203	188	188	139	142	148	213	156
cds3335	hypothetical protein	RPHASCH2410_CH13925	WP_016734272.1	364	260	324	1940	2104	2165	1658	691	1125	1471	2207	1244
cds3336	EamA family transporter RarD	RPHASCH2410_CH13930	WP_016734271.1	1853	1658	1781	5977	5987	6100	3892	1437	2991	4290	6878	2870
cds3337	citramalate synthase	RPHASCH2410_CH13935	WP_016734270.1	1169	1155	1266	2354	2607	2383	1968	1378	1605	1680	2487	1737
cds3338	prolyl aminopeptidase	RPHASCH2410_CH13940	WP_016734269.1	1211	1223	1218	2007	2128	2231	1507	1241	1410	1405	2041	1455
cds3339	GFA family protein	RPHASCH2410_CH13945	WP_016734268.1	725	599	684	642	654	677	411	421	413	455	707	467
cds3340	GFA family protein	RPHASCH2410_CH13950	WP_016734267.1	262	211	246	435	443	436	284	292	259	344	426	330
cds3341	GFA family protein	RPHASCH2410_CH13955	WP_016734266.1	109	125	158	386	371	352	307	386	299	275	412	362
